HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
5800.0,5800.0,3.4154363222570225,0.5,0.0,9.940357852882704e-05,1.0,1.157676348547718,1.5714285714285714,1.3870967741935485,0.0,0.008298755186722184,0.0,0.010015139163852327,0.0015535343973551536,0.0006572265906728344,3.8338059276797503,0.6542252339635372,3.9154363222570225,0.036049372705938235
6000.0,6000.0,4.342857292720249,0.8999999761581421,0.0,9.933445912387007e-05,1.0,1.115482233502538,1.4166666666666667,1.217292377701934,0.0,0.013959390862944288,0.0,0.015045186690697987,0.0022390389676038122,0.0008063386963070872,10.592557234497214,1.1182561127256339,5.242857268878391,0.06054122295175493
6200.0,6200.0,7.135151386260986,2.2472727298736572,0.0004886391399951136,0.0003981287946650742,1.0578034682080926,1.2844327176781003,1.0874316939890711,1.1281840591618735,0.0,0.017941952506596248,0.0,0.015542243926865318,0.03644051846368119,0.0029296571470417377,54.493039623496514,2.563510921341966,9.382424116134644,0.13551502990294073
6400.0,6400.0,12.552873693663498,5.588505662720779,0.002618486514794449,0.0009872642906506072,1.0646840148698884,2.0830959752321982,1.1089385474860336,1.1795374829082694,0.004460966542750855,0.04086687306501524,0.0046659405925078,0.022695316270755495,0.3443587954352306,0.007698980566927066,195.388918426843,5.80042490052728,18.141379356384277,0.30075957526092734
6600.0,6600.0,20.560577080799984,11.890384591542757,0.005205751115518097,0.00377395967822028,1.0996119016817594,3.654052936311001,1.2194117647058824,1.2796389564823722,0.024579560155239433,0.09646401985111686,0.02666147701888577,0.032912560893123555,0.7669663777133746,0.006673641543074683,449.2709240385417,11.300427919707113,32.45096167234274,0.5788251563716861
6750.0,6750.0,27.584018289226375,18.565753544846626,0.010454930771404351,0.00954843843246469,1.123773345995568,4.7059003674969375,1.4822535211267605,1.4287728584134145,0.07312440645773988,0.193037974683544,0.09055820242800361,0.056299426448421785,0.9005449994378398,0.00505717463171538,659.1079376493517,16.645307167694824,46.149771834073,0.8479777215488734
6900.0,6900.0,35.493421270136245,26.29692966896191,0.011397557666214383,0.02314033171119277,1.1544715447154472,5.521511448814047,1.863430583501006,1.636980696991111,0.10685249709639955,0.3261115104220149,0.1578596811068993,0.09129149593755526,0.9445300900511409,0.0037923380518938518,891.8079689302521,22.658100866152175,61.790350939098154,1.15124313602357
7150.0,7150.0,52.03946152075524,44.706726347919,0.03112033195020747,0.06822709163346613,1.188235294117647,6.696786715548846,2.4725715814824727,2.0036389398769847,0.16406995230524646,0.5603838688807414,0.29998752317069277,0.154716900740542,0.961481406347073,0.003365876647014051,1325.510579031185,36.07140523981671,96.74618786867424,1.8277825897142645
7300.0,7300.0,67.43817471072882,59.72406642169873,0.04027846842366982,0.10836277974087162,1.2309333333333334,7.64026622296173,2.703639514731369,2.119836810546336,0.2016,0.6824181919023848,0.38048240378572507,0.17381593861681544,0.9710612572514637,0.0038157902037590824,1601.671670980149,47.51035358106648,127.16224113242754,2.406581262666595
7400.0,7400.0,82.4500001514231,72.54427480333634,0.0493339911198816,0.14069048094192776,1.2681413541947666,8.71349765258216,2.7800467985534993,2.1285173561066286,0.19881305637982205,0.7764084507042259,0.37677353632473887,0.17414280444560992,0.9612682067792737,0.003108137594833192,1828.433861715262,57.88544902719454,154.99427495475942,2.9323169649240874
