HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
5800.0,5800.0,2.7449999849001565,0.30000001192092896,0.0,0.0,1.0,1.2816901408450705,3.5,1.4285714285714286,0.0,0.05633802816901401,0.0,0.06015037593984962,0.0015132126331359507,0.0012001441050520558,3.717188094750095,0.4056650402434491,3.0449999968210855,0.02263529503614565
6000.0,6000.0,3.1249999403953552,0.4000000059604645,0.0,0.0010359116022099447,1.0,1.116504854368932,1.0,1.173913043478261,0.0,0.01941747572815533,0.0,0.020066889632107232,0.0013820220344921558,0.0011470158777545758,4.650067986060652,0.5319149003777577,3.5249999463558197,0.029487256855688967
6200.0,6200.0,3.86500004529953,0.8999999761581421,0.000984251968503937,0.0,1.0555555555555556,1.1474201474201475,1.1403508771929824,1.177730192719486,0.0185185185185186,0.017199017199017064,0.019661222020568747,0.017392639976870017,0.05022287662115008,0.006855334069681993,20.009886484714368,1.0950157185312206,4.765000021457672,0.05890138880385273
6400.0,6400.0,5.651818037033081,1.7027273178100586,0.0018957345971563982,0.00024685262898049864,1.0520547945205478,1.301707779886148,1.1484375,1.2259475218658893,0.016438356164383716,0.02530044275774812,0.01766826923076925,0.02337364198028391,0.34011578118042,0.014599335106055048,62.07778250188964,1.962766798969752,7.35454535484314,0.1040259077477644
6600.0,6600.0,7.820000116030375,3.299999952316284,0.00992063492063492,0.0011754334410813989,1.082810539523212,1.590513068731849,1.2734646581691773,1.366707242848448,0.038895859473023986,0.056631171345595366,0.04415817047342796,0.04698934687430745,0.795724293129106,0.012762166282796588,131.66364019129273,3.481025158324078,11.120000068346659,0.1810067072427568
6750.0,6750.0,9.60746278335799,5.01791043068046,0.01968503937007874,0.004978839930296241,1.0702702702702702,1.7255264130033248,1.5141414141414142,1.5538428602012417,0.0637837837837838,0.08828961950498693,0.08516143320719127,0.07563512089370605,0.9276282601346959,0.00820997477935734,180.949248288257,4.944426407783653,14.62537321403845,0.25437554676260754
6900.0,6900.0,11.904225389722367,7.056338041601046,0.023278370514064017,0.007942417473318442,1.0701030927835051,1.8956908344733243,1.9836223506743738,1.7616813999639185,0.15876288659793825,0.12859097127222974,0.25627335738578316,0.11190947903132842,0.9626912510675076,0.005972196935128721,243.45128265842237,6.645391004791778,18.960563431323415,0.34005383731681027
7150.0,7150.0,16.921428430648078,12.098809389840989,0.0389363722697056,0.028137450199203187,1.105906313645621,2.1809428950863214,2.7099447513812156,2.1910488658852185,0.28004073319755607,0.18957503320053126,0.5475641488830525,0.1752225353530057,0.9699009495533771,0.0053709342200479,367.47410580296685,10.582053379957973,29.020237820489065,0.5381530314381269
7300.0,7300.0,21.930986055186096,18.3746477046483,0.051587301587301584,0.04563953488372093,1.1361702127659574,2.5711508553654743,3.0224719101123596,2.2157870860426434,0.2851063829787235,0.2371695178849147,0.6063042454417009,0.18712863387595347,0.9830039996965,0.004180440643275444,444.7640073010623,14.99694105736769,40.30563375983439,0.7601714112200835
7400.0,7400.0,28.663218421497564,23.473562986001202,0.06219151036525173,0.05792377131394182,1.1841541755888652,3.123731587561375,3.140144665461121,2.1484858011107617,0.3072805139186294,0.26775777414075286,0.6469644788135978,0.16962275700305018,0.9828969398829619,0.00420657948953292,543.8137500475303,19.35757764728948,52.136781407498766,0.9815514241983939
