HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
6300.0,6300.0,3.91870503459903,0.699999988079071,0.0,0.0001125112511251125,1.0,1.117584745762712,1.0,1.1109004739336492,0.0,0.008474576271186418,0.0,0.008360492748324733,0.0009710336300193872,0.0005647114207516991,13.141544172524416,0.8908644732195562,4.6187050226781015,0.04861148157125418
6500.0,6500.0,6.52042251573482,2.299999952316284,0.0,0.00023207240659085636,1.101123595505618,1.3551472438963,1.0918367346938775,1.1171991084695394,0.011235955056179803,0.017367228794362033,0.011256048811277175,0.01413657408479696,0.021943636680380046,0.002644895793415048,69.5671015185322,2.5503831912875152,8.820422468051104,0.13394338261568872
6700.0,6700.0,12.015384674072266,5.900000095367432,0.0003243593902043464,0.0008943654973665905,1.0714285714285714,2.4411263767457703,1.1270440251572327,1.1573561561002836,0.009433962264151052,0.03712955603497248,0.009837042613591862,0.017339662010665835,0.2300383100596643,0.007580857367809403,246.61550205421335,5.935465937234049,17.915384769439697,0.3062493047009883
6900.0,6900.0,20.714925414887233,12.208457552971531,0.003624382207578254,0.003340989768218835,1.1060752169720347,4.661309207025013,1.1730601569311248,1.2667777955380997,0.02121504339440694,0.12038318254390656,0.02207641013899475,0.03189221099531636,0.680991222975485,0.008475809360415084,579.1054833309817,11.522082398431527,32.923382967858764,0.589733791916801
7100.0,7100.0,30.93053675017901,21.148658195598014,0.01293103448275862,0.01671641791044776,1.1469158878504673,6.632636409994901,1.455671447196871,1.4522473205910846,0.06317757009345804,0.2873023967363588,0.07599891089782873,0.06029448345033295,0.8969841156579201,0.005571280907389463,952.3651408043485,18.84071029144248,52.07919494577702,0.9593608934700427
7200.0,7200.0,36.34562028759587,26.574087804251345,0.01741130091984231,0.029332535169111044,1.1660623640319072,7.37139896373057,1.6968283582089552,1.5958051002333624,0.09825960841189274,0.3969948186528498,0.13187280902627663,0.08155178201819524,0.9208932679249467,0.004935181901377637,1162.687072207853,23.025814979499458,62.91970809184721,1.1703071338788469
7300.0,7300.0,42.365328656495926,32.328832445353484,0.01673228346456693,0.045237146273415706,1.1961206896551724,7.987804878048781,1.9684684684684686,1.7481179257699395,0.13864942528735646,0.5231286795626566,0.2044749270260573,0.10744892038429787,0.9278290633751686,0.004726849615172858,1381.2993790972869,27.504591884555204,74.6941611018494,1.3965426170707056
7400.0,7400.0,48.612418280707466,38.181045307832605,0.024568393094289508,0.07045341305430991,1.1881622214103031,8.468126415704885,2.2167896678966788,1.9140215009935293,0.1571063207891854,0.6693992018121033,0.25888635448005726,0.1402178793961546,0.9305296680779628,0.0046907134514580315,1605.2628538282809,32.07740885119976,86.79346358854008,1.627752509938485
7500.0,7500.0,55.1587880452474,44.70424252134381,0.03293413173652695,0.09977006897930621,1.227007299270073,8.954753658809071,2.4414039262343845,2.0891034758090674,0.17518248175182483,0.8302982906937775,0.3050166279522397,0.17726825100144983,0.9416641715499665,0.004347035555182311,1852.9999277612208,37.03820859142198,99.8630305665912,1.8783991418062604
7600.0,7600.0,61.934048302371764,51.99195711478471,0.04413702239789196,0.13642714570858283,1.2357247437774523,9.34910277324633,2.6946090047393363,2.239798589126804,0.20937042459736466,0.9309018876718707,0.3904043441516971,0.20282410401521211,0.9405129596766418,0.004390812268431784,2069.544050429602,42.39689223685811,113.92600541715647,2.1489713590287978
